longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-1138.7045630503892,261.02808429508883,337.4164513888305,6399.826373353529,1206.5047043081925,2215.1596763167377,1157.8183660243935,61.1621158412378,4455357.099977914,NEAR BAY
-1138.6114022418274,260.89026587677034,172.82306046744978,51627.69025504171,10344.141108254735,16517.38628210089,10457.12143282349,60.987266185130856,3529044.4550200664,NEAR BAY
-1138.7977238589508,260.82135666761116,427.9428163955899,10668.801465579121,1777.0224327019887,3412.171426872987,1626.459133224743,53.31739051388545,3466043.382461828,NEAR BAY
-1138.8908846675126,260.82135666761116,427.9428163955899,9265.203181423178,2197.896166762986,3838.6928552321106,2012.3985885662075,41.457735057859146,3359729.072519801,NEAR BAY
-1138.8908846675126,260.82135666761116,427.9428163955899,11832.406260734308,2618.7699008239833,3886.848500369431,2379.9599746056974,28.25658602178552,3368588.598348303,NEAR BAY
-1138.8908846675126,260.82135666761116,427.9428163955899,6683.455042172605,1992.1356745553874,2841.1830631019025,1773.483687640539,29.656852595482242,2654904.5732745104,NEAR BAY
-1138.8908846675126,260.75244745845197,427.9428163955899,18435.863473239995,4573.494576796171,7526.0393971755,4723.163810607446,26.882032632810407,2945300.14209764,NEAR BAY
-1138.8908846675126,260.75244745845197,427.9428163955899,22573.93302601063,6425.33900666456,7959.440203411384,5945.30541918875,22.921467523262134,2376321.7055560504,NEAR BAY
-1138.9840454760745,260.75244745845197,345.64612093489956,18581.31407263439,6219.578514456961,8296.529719372626,5467.4756173374135,15.283916998523893,2231616.1170238466,NEAR BAY
-1138.8908846675126,260.75244745845197,427.9428163955899,25810.208862535994,6612.393999580559,10669.915086854844,6560.970740804896,27.117859269828585,2570246.8820243776,NEAR BAY
-1138.9840454760745,260.82135666761116,427.9428163955899,16014.110993323262,4059.0933462771745,6260.23386785165,3693.991929696874,23.531971994795175,2771062.800803762,NEAR BAY
-1138.9840454760745,260.82135666761116,427.9428163955899,25475.672483928876,7033.267733641555,10346.584326647122,6744.751433824641,24.027134466291287,2380259.2725909404,NEAR BAY
-1138.9840454760745,260.82135666761116,427.9428163955899,18115.87215457232,4433.203332109172,7553.55690868254,4300.468216662032,22.590869433984317,2101676.4048724803,NEAR BAY
-1138.9840454760745,260.75244745845197,427.9428163955899,5061.680858925064,1786.3751823477887,2373.385367482219,1598.8920292717814,19.64193447762617,1883141.4344360912,NEAR BAY
-1138.9840454760745,260.82135666761116,427.9428163955899,19221.296709969745,5854.821278270763,8337.805986633186,5697.201483612094,14.081274615973248,1567151.6798861774,NEAR BAY
-1138.9840454760745,260.82135666761116,411.4834773034518,8145.233566086309,2646.8281497613834,4794.926380101758,2425.905147860634,15.611576438119242,1378148.4622114624,NEAR BAY
-1139.077206284636,260.82135666761116,427.9428163955899,14297.793920469361,3245.4041270925795,5455.3466562707235,3041.5704694767796,20.386882172132186,1501197.4320517716,NEAR BAY
-1139.077206284636,260.82135666761116,427.9428163955899,8930.66680281606,2740.355646219383,4457.836864140515,2784.277499249137,15.576312641929608,1530729.184813446,NEAR BAY
-1138.9840454760745,260.75244745845197,411.4834773034518,16283.194602202899,4255.501088838973,6810.584097992454,3850.2055187636574,14.627863456912577,1562229.721092565,NEAR BAY
